time_s,x,y,kappa_1_per_m,d0_kappa,supersaturation,residual,v_n_m_per_s
0,0.000195122,4.61178e-05,3281.14,3.33559e-06,1.91626e-15,-3.33559e-06,-4.63046e-12
0,9.68026e-05,6.43668e-05,-4917.73,-4.99934e-06,1.91626e-15,4.99934e-06,6.94008e-12
0,0.000195199,4.6551e-05,3281.11,3.33555e-06,1.91626e-15,-3.33555e-06,-4.63041e-12
0,9.68544e-05,6.46557e-05,-4918.95,-5.00058e-06,1.91626e-15,5.00058e-06,6.9418e-12
0,0.000195276,4.69845e-05,3280.49,3.33493e-06,1.91626e-15,-3.33493e-06,-4.62955e-12
0,9.69053e-05,6.49449e-05,-4919.76,-5.00141e-06,1.91626e-15,5.00141e-06,6.94294e-12
0,0.000195354,4.74181e-05,3279.32,3.33374e-06,1.91626e-15,-3.33374e-06,-4.62789e-12
0,9.69555e-05,6.52344e-05,-4920.18,-5.00183e-06,1.91626e-15,5.00183e-06,6.94353e-12
0,0.000195432,4.78518e-05,3277.61,3.332e-06,1.91626e-15,-3.332e-06,-4.62548e-12
0,9.70053e-05,6.55241e-05,-4920.22,-5.00186e-06,1.91626e-15,5.00186e-06,6.94358e-12
0,0.000195455,4.79753e-05,3277.08,3.33146e-06,1.91626e-15,-3.33146e-06,-4.62473e-12
0,0.000195511,4.82856e-05,3278.54,3.33295e-06,1.91626e-15,-3.33295e-06,-4.62679e-12
0,9.70549e-05,6.5814e-05,-4919.88,-5.00152e-06,1.91626e-15,5.00152e-06,6.9431e-12
0,0.000195587,4.87201e-05,3280.13,3.33456e-06,1.91626e-15,-3.33456e-06,-4.62903e-12
0,9.71044e-05,6.6104e-05,-4919.17,-5.0008e-06,1.91626e-15,5.0008e-06,6.94211e-12
0,0.000195662,4.91551e-05,3281.13,3.33558e-06,1.91626e-15,-3.33558e-06,-4.63045e-12
0,9.71539e-05,6.63942e-05,-4918.11,-4.99972e-06,1.91626e-15,4.99972e-06,6.94061e-12
0,0.000195735,4.95906e-05,3281.6,3.33605e-06,1.91626e-15,-3.33605e-06,-4.6311e-12
