alpha_c,T_C,beta_sub_s_per_m,eps_m,binding,Nx,nodes_2D,f_kin,Lstar_m
2.784941e-03,-20.0,2.851390e+06,5.211772e-08,B-KINETIC,1.221100e+04,7.456037e+07,0.9972,4.997738e-05
2.784941e-03,-5.0,7.100802e+05,1.975763e-07,B-KINETIC,3.222000e+03,5.190642e+06,0.9896,5.389188e-05
3.150125e-03,-40.0,2.113048e+07,7.636164e-09,B-KINETIC,8.334000e+04,3.472778e+09,0.9995,3.966789e-05
3.150125e-03,-20.0,2.520838e+06,5.895181e-08,B-KINETIC,1.079600e+04,5.827681e+07,0.9965,4.418367e-05
3.150125e-03,-5.0,6.277630e+05,2.234840e-07,B-KINETIC,2.848000e+03,4.055552e+06,0.9868,4.764438e-05
3.563194e-03,-40.0,1.868089e+07,8.637478e-09,B-KINETIC,7.367900e+04,2.714334e+09,0.9994,3.506933e-05
3.563194e-03,-20.0,2.228606e+06,6.668203e-08,B-KINETIC,9.544000e+03,4.554397e+07,0.9955,3.906161e-05
3.563194e-03,-5.0,5.549885e+05,2.527890e-07,B-KINETIC,2.518000e+03,3.170162e+06,0.9832,4.212112e-05
4.030428e-03,-40.0,1.651528e+07,9.770092e-09,B-KINETIC,6.513800e+04,2.121480e+09,0.9992,3.100386e-05
4.030428e-03,-20.0,1.970251e+06,7.542591e-08,B-KINETIC,8.438000e+03,3.559992e+07,0.9942,3.453333e-05
4.030428e-03,-5.0,4.906505e+05,2.859367e-07,B-KINETIC,2.226000e+03,2.477538e+06,0.9785,3.723816e-05
4.558929e-03,-40.0,1.460072e+07,1.105122e-08,B-KINETIC,5.758700e+04,1.658160e+09,0.9990,2.740968e-05
4.558929e-03,-20.0,1.741846e+06,8.531634e-08,B-KINETIC,7.460000e+03,2.782580e+07,0.9926,3.052999e-05
4.558929e-03,-5.0,4.337711e+05,3.234310e-07,B-KINETIC,1.968000e+03,1.936512e+06,0.9727,3.292127e-05
5.156732e-03,-40.0,1.290811e+07,1.250035e-08,B-KINETIC,5.091100e+04,1.295990e+09,0.9988,2.423217e-05
5.156732e-03,-20.0,1.539920e+06,9.650369e-08,B-KINETIC,6.595000e+03,2.175031e+07,0.9906,2.699075e-05
5.156732e-03,-5.0,3.834854e+05,3.658418e-07,B-KINETIC,1.740000e+03,1.513800e+06,0.9654,2.910481e-05
5.832924e-03,-40.0,1.141171e+07,1.413949e-08,B-KINETIC,4.500900e+04,1.012928e+09,0.9984,2.142302e-05
5.832924e-03,-20.0,1.361402e+06,1.091580e-07,B-KINETIC,5.831000e+03,1.700320e+07,0.9880,2.386181e-05
5.832924e-03,-5.0,3.390292e+05,4.138138e-07,B-KINETIC,1.538000e+03,1.182722e+06,0.9561,2.573079e-05
6.597782e-03,-40.0,1.008879e+07,1.599357e-08,B-KINETIC,3.979100e+04,7.916817e+08,0.9980,1.893952e-05
6.597782e-03,-20.0,1.203579e+06,1.234717e-07,B-KINETIC,5.155000e+03,1.328959e+07,0.9847,2.109559e-05
6.597782e-03,-5.0,2.997267e+05,4.680764e-07,B-KINETIC,1.360000e+03,9.248000e+05,0.9445,2.274791e-05
