T_C,alpha_c,beta_sub_s_per_m,eps_m,binding,Nx,nodes_2D,f_kin
-12.632,1.000e-02,3.934201e+05,3.670498e-07,B-KINETIC,1.734000e+03,1.503378e+06,0.9347
-12.632,1.000e-03,3.934201e+06,3.670498e-08,B-KINETIC,1.733900e+04,1.503291e+08,0.9993
-12.143,1.000e-01,3.760280e+04,2.911799e-07,B-HEAT,2.186000e+03,2.389298e+06,0.6434
-12.143,1.000e-02,3.760280e+05,3.833076e-07,B-KINETIC,1.661000e+03,1.380291e+06,0.9320
-12.143,1.000e-03,3.760280e+06,3.833076e-08,B-KINETIC,1.660300e+04,1.378381e+08,0.9993
-11.654,1.000e-01,3.594637e+04,2.909077e-07,B-HEAT,2.188000e+03,2.393672e+06,0.6437
-11.654,1.000e-02,3.594637e+05,4.002213e-07,B-KINETIC,1.591000e+03,1.266436e+06,0.9292
-11.654,1.000e-03,3.594637e+06,4.002213e-08,B-KINETIC,1.590200e+04,1.264368e+08,0.9992
-11.165,1.000e-01,3.436851e+04,2.906362e-07,B-HEAT,2.190000e+03,2.398050e+06,0.6439
-11.165,1.000e-02,3.436851e+05,4.178146e-07,B-KINETIC,1.524000e+03,1.161288e+06,0.9263
-11.165,1.000e-03,3.436851e+06,4.178146e-08,B-KINETIC,1.523200e+04,1.160069e+08,0.9992
-10.677,1.000e-01,3.286523e+04,2.903655e-07,B-HEAT,2.192000e+03,2.402432e+06,0.6441
-10.677,1.000e-02,3.286523e+05,4.361121e-07,B-KINETIC,1.460000e+03,1.065800e+06,0.9234
-10.677,1.000e-03,3.286523e+06,4.361121e-08,B-KINETIC,1.459300e+04,1.064851e+08,0.9992
-10.188,1.000e-01,3.143277e+04,2.900956e-07,B-HEAT,2.194000e+03,2.406818e+06,0.6443
-10.188,1.000e-02,3.143277e+05,4.551393e-07,B-KINETIC,1.399000e+03,9.793000e+05,0.9203
-10.188,1.000e-03,3.143277e+06,4.551393e-08,B-KINETIC,1.398300e+04,9.776914e+07,0.9991
-9.699,1.000e-01,3.006755e+04,2.898264e-07,B-HEAT,2.196000e+03,2.411208e+06,0.6445
-9.699,1.000e-02,3.006755e+05,4.749222e-07,B-KINETIC,1.341000e+03,8.998110e+05,0.9171
-9.699,1.000e-03,3.006755e+06,4.749222e-08,B-KINETIC,1.340100e+04,8.980010e+07,0.9991
-9.211,1.000e-01,2.876619e+04,2.895579e-07,B-HEAT,2.198000e+03,2.415602e+06,0.6448
-9.211,1.000e-02,2.876619e+05,4.954881e-07,B-KINETIC,1.285000e+03,8.262550e+05,0.9138
-9.211,1.000e-03,2.876619e+06,4.954881e-08,B-KINETIC,1.284400e+04,8.248417e+07,0.9991
-8.722,1.000e-01,2.752551e+04,2.892902e-07,B-HEAT,2.200000e+03,2.420000e+06,0.6450
-8.722,1.000e-02,2.752551e+05,5.168647e-07,B-KINETIC,1.232000e+03,7.589120e+05,0.9105
-8.722,1.000e-03,2.752551e+06,5.168647e-08,B-KINETIC,1.231300e+04,7.581114e+07,0.9990
-8.233,1.000e-01,2.634246e+04,2.890233e-07,B-HEAT,2.202000e+03,2.424402e+06,0.6452
-8.233,1.000e-02,2.634246e+05,5.390809e-07,B-KINETIC,1.181000e+03,6.979710e+05,0.9070
-8.233,1.000e-03,2.634246e+06,5.390809e-08,B-KINETIC,1.180600e+04,6.969082e+07,0.9990
-7.744,1.000e-01,2.521419e+04,2.887570e-07,B-HEAT,2.204000e+03,2.428808e+06,0.6454
-7.744,1.000e-02,2.521419e+05,5.621664e-07,B-KINETIC,1.133000e+03,6.424110e+05,0.9034
-7.744,1.000e-03,2.521419e+06,5.621664e-08,B-KINETIC,1.132100e+04,6.408818e+07,0.9989
-7.256,1.000e-01,2.413797e+04,2.884915e-07,B-HEAT,2.206000e+03,2.433218e+06,0.6456
-7.256,1.000e-02,2.413797e+05,5.861518e-07,B-KINETIC,1.086000e+03,5.896980e+05,0.8997
-7.256,1.000e-03,2.413797e+06,5.861518e-08,B-KINETIC,1.085800e+04,5.894808e+07,0.9989
-6.767,1.000e-01,2.311124e+04,2.882268e-07,B-HEAT,2.208000e+03,2.437632e+06,0.6458
-6.767,1.000e-02,2.311124e+05,6.110687e-07,B-KINETIC,1.042000e+03,5.428820e+05,0.8958
-6.767,1.000e-03,2.311124e+06,6.110687e-08,B-KINETIC,1.041500e+04,5.424132e+07,0.9988
-6.278,1.000e-01,2.213156e+04,2.879627e-07,B-HEAT,2.210000e+03,2.442050e+06,0.6460
-6.278,1.000e-02,2.213156e+05,6.369498e-07,B-KINETIC,1.000000e+03,5.000000e+05,0.8919
-6.278,1.000e-03,2.213156e+06,6.369498e-08,B-KINETIC,9.992000e+03,4.992003e+07,0.9988
-5.789,1.000e-01,2.119662e+04,2.876994e-07,B-HEAT,2.213000e+03,2.449791e+06,0.6463
-5.789,1.000e-02,2.119662e+05,6.638287e-07,B-KINETIC,9.590000e+02,4.603200e+05,0.8879
-5.789,1.000e-03,2.119662e+06,6.638287e-08,B-KINETIC,9.587000e+03,4.596008e+07,0.9987
-5.301,1.000e-01,2.030423e+04,2.874368e-07,B-HEAT,2.215000e+03,2.454220e+06,0.6465
-5.301,1.000e-02,2.030423e+05,6.917401e-07,B-KINETIC,9.200000e+02,4.232000e+05,0.8837
-5.301,1.000e-03,2.030423e+06,6.917401e-08,B-KINETIC,9.200000e+03,4.232000e+07,0.9987
-4.812,1.000e-01,1.945232e+04,2.871750e-07,B-HEAT,2.217000e+03,2.458653e+06,0.6467
-4.812,1.000e-02,1.945232e+05,7.207197e-07,B-KINETIC,8.840000e+02,3.907280e+05,0.8794
-4.812,1.000e-03,1.945232e+06,7.207197e-08,B-KINETIC,8.831000e+03,3.899770e+07,0.9986
-4.323,1.000e-01,1.863892e+04,2.869138e-07,B-HEAT,2.219000e+03,2.463090e+06,0.6469
-4.323,1.000e-02,1.863892e+05,7.508045e-07,B-KINETIC,8.480000e+02,3.595520e+05,0.8750
-4.323,1.000e-03,1.863892e+06,7.508045e-08,B-KINETIC,8.477000e+03,3.593400e+07,0.9986
